group_id,text_hash,original_text,group_type,n_rows,n_distinct_label_vectors,sources,splits,source_row_ids,source_datasets,label_vectors,all_anger,all_disgust,all_fear,all_joy,all_sadness,all_surprise,action,resolution
68806a304a59,68806a304a59,"Yousuf Kazi পৃথিবীতে এখনও আপনার মত কিছু মানুষ আছে বলে,পৃথিবীটা এখনও এত সুন্দর।ধর্মের থেকে মানুষ বড়,সত্যি, আপনাকে ধন্যবাদ দিয়ে আর ছোট করব না।",B,2,2,UBMEC,NONE,8385|9239,UBMEC|UBMEC,"(0, 0, 0, 1, 0, 0) | (0, 0, 1, 0, 0, 0)",0|0,0|0,0|1,1|0,0|0,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
005fcd560a8f,005fcd560a8f,"অপরাধ কারী এবং অপরাধী কে প্রশ্রয় দানকারী দুজনেই সমান অপরাধী ? এদেকে কি বলে মোনাফেক, কাফের, জারজ, নাস্তিক, আস্তিক, মালউন, আরো কত কি কি বলে???????",B,14,3,UBMEC,NONE,8260|8299|8363|8563|8564|8565|8566|8567|8568|8569|8570|8571|8572|8573,UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0) | (0, 1, 0, 0, 0, 0)",1|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|1|0|1|1|1|1|1|1|1|1|1|1|1,0|0|0|0|0|0|0|0|0|0|0|0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
523358193c2a,523358193c2a,অমানুষ,D,3,2,MONOVAB|UBMEC,NONE,9653|25775|51683,UBMEC|MONOVAB|MONOVAB,"(0, 1, 0, 0, 0, 0) | (1, 0, 0, 0, 0, 0)",0|1|1,1|0|0,0|0|0,0|0|0,0|0|0,0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
76353fbca55e,76353fbca55e,অসাধারণ,D,5,2,MONOVAB|UBMEC,NONE,10401|11505|11519|12624|38207,UBMEC|UBMEC|UBMEC|UBMEC|MONOVAB,"(0, 0, 0, 1, 0, 0) | (0, 0, 0, 0, 0, 1)",0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,1|0|0|1|1,0|0|0|0|0,0|1|1|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
bbd6ce9d5620,bbd6ce9d5620,অসাধারন,D,2,2,MONOVAB|UBMEC,NONE,11511|37803,UBMEC|MONOVAB,"(0, 0, 0, 0, 0, 1) | (0, 0, 0, 1, 0, 0)",0|0,0|0,0|0,0|1,0|0,1|0,RETAINED_UNRESOLVED — requires user decision,PENDING
b5a60694ebbc,b5a60694ebbc,"আজ আমার বোন,কাল আপনার বোন, পরে আপনার মেয়ে,তার আরেকজন এর পালা, এই ভাবে চলতে থাকলে, আমাদের বোনেরা,নেয়েরা লেখা করতে পারবেনা,নিরাপদে,রাস্তায় চলা ফিরা করতে পারবেনা, আসুন সবাই মিলে প্রতিবাদ করি।এর দায়িত্ব শুধু কুমিল্লাহ র ছাত্র- ছাত্রী ভাই,বোন দের না। আমার, আপনার, সকলের। আমি মনে করি বাংলাদেশের সকল শিক্ষা প্রতিষ্ঠানের ছাত্র,ছাত্রী,শিক্ষক,কর্মচারী,অভিবাবক,সচেতন নাগ রিক মাত্রই প্রতিবাদ করা উচিত।",B,3,2,UBMEC,NONE,11112|11162|11167,UBMEC|UBMEC|UBMEC,"(0, 0, 1, 0, 0, 0) | (1, 0, 0, 0, 0, 0)",0|1|1,0|0|0,1|0|0,0|0|0,0|0|0,0|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
64eacb863fbc,64eacb863fbc,আন্তর্জাতিক শ্রম সংস্থার  আইএলও  প্রতিষ্ঠার শতবর্ষ পালন উপলক্ষে গিনেস রেকর্ড ভাঙতে বাংলাদেশ বিশ্বের সর্ববৃহৎ টি শার্ট সেলাইয়ের পরিকল্পনা করেছে  বিশ্বের দ্বিতীয় বৃহত্তম রফতানিকারক বাংলাদেশ পোশাক শিল্পকে তুলে ধরার জন্য বাংলাদেশ গার্মেন্ট প্রস্তুতকারক ও রফতানিকারক সমিতিকে  বিজিএমইএ  সুতি কাপড়ের এই টি শার্ট সেলাইয়ের দায়িত্ব দেয়া হয়েছে,B,2,2,UBMEC,NONE,1928|1929,UBMEC|UBMEC,"(0, 0, 0, 0, 0, 1) | (0, 0, 0, 1, 0, 0)",0|0,0|0,0|0,0|1,0|0,1|0,RETAINED_UNRESOLVED — requires user decision,PENDING
f555b3ed94fc,f555b3ed94fc,"আমরা কি স্ট্যাটাসের বাকি লাইনগুলো অস্বীকার করবো ? কোনটির আগে বিচার হওয়া উচিত ?? অপহরণ চেষ্টা নাকি খুনের ??? এইযে ইমাম- মুয়াজ্জিন , লেখক - প্রকাশক, ধর্ষণ- গুম, সন্ত্রাস- চাঁদাবাজি, ৮০০ কোটি টাকা লুট কোনটি ????",B,3,3,UBMEC,NONE,7333|7456|7473,UBMEC|UBMEC|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 0, 1) | (0, 0, 0, 0, 1, 0)",1|0|0,0|0|0,0|0|0,0|0|0,0|0|1,0|1|0,RETAINED_UNRESOLVED — requires user decision,PENDING
05b6974d19f7,05b6974d19f7,আমরা জানি আপনাদের কাছে আমরা কোন সত্য বা বাস্তব ঘটনা কখনোই আশা করি না কারণ আমরা পাব না আপনারা যেটা সত্য সেটা কখনো বলবেন না আবার না বলাটাই স্বাভাবিক কারণ আপনারা তো মানুষ আপনারা সত্য কথা বলে কি বিপদে পড়বেন নাকি এরকম এই অনুষ্ঠানটা এখন করতেছেন মাস খানেক আগেও তো করতে পারতেন তখন করেন নাই কেন করেন নাই করলে আপনাদের সমস্যা হতে পারে ,D,2,2,EmoNoBa|UBMEC,NONE|Train,5485|2038,EmoNoBa|UBMEC,"(1, 0, 0, 0, 0, 0) | (0, 0, 0, 0, 1, 0)",1|0,0|0,0|0,0|0,0|1,0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
248e4d14edf5,248e4d14edf5,আমরা যারা ছাএ আছি আমাদের ত NID CARD নাই তাহলে আমরা কি সিম ব্যবহার করতে পারব না,B,3,2,UBMEC,NONE,11593|11628|11648,UBMEC|UBMEC|UBMEC,"(0, 0, 0, 0, 0, 1) | (0, 0, 0, 0, 1, 0)",0|0|0,0|0|0,0|0|0,0|0|0,0|1|1,1|0|0,RETAINED_UNRESOLVED — requires user decision,PENDING
