strategy_id,applies_to,strategy_name,decision_status,affected_rows,usable_rows_for_disgust,rows_excluded,annotation_accuracy_risk,training_impact,validation_impact,test_impact,macro_f1_impact,lr_chain_impact,advantages,disadvantages,implementation_complexity,reproducibility,requires_user_approval
DISGUST-A,EmoNoBa — Disgust,Treat missing Disgust as 0 (Negative),"[PROPOSED — DATASET_SPEC.md Sec 3 FINALIZED this as the operational rule, but REQUIRES USER CONFIRMATION before execution]",22739,22739,0,"HIGH — 22739 examples receive Disgust=0 based on assumption, not annotation. The actual Disgust status of EmoNoBa examples is unknown. Some EmoNoBa examples may genuinely express disgust but were not annotated for it.","All EmoNoBa examples contribute to Disgust=0 training signal. Classifier sees 22739 artificial negatives, biasing it toward predicting Disgust=0 for EmoNoBa-domain texts.","EmoNoBa val examples used for threshold optimization on Disgust assume 0 is ground truth. If real Disgust exists in those examples, threshold will be miscalibrated.",Sensitivity analysis (Experiment F5) required: re-evaluate with EmoNoBa rows excluded from Disgust scoring.,"Disgust F1 may appear higher than it truly is, as the classifier learns a biased prior. Macro-F1 will over-represent this inflated Disgust F1.",Logistic Regression receives 22739 extra assumed Disgust=0 examples; class_weight='balanced' will compensate for class imbalance but not for label noise.,Simplest approach; uses all 22739 EmoNoBa examples; DATASET_SPEC.md already documents this assumption; enables a complete 6-column training matrix.,Introduces systematic label noise for Disgust; Disgust classifier trained partly on incorrect negatives; violates RESEARCH_RULES.md rule 9 unless explicitly logged.,LOW,"High — deterministic, but sensitivity analysis (F5) is mandatory to quantify the impact.",True
DISGUST-B,EmoNoBa — Disgust,Use label-coverage mask (treat Disgust as unknown/unobserved for EmoNoBa rows),[REQUIRES USER DECISION — not currently finalized in DATASET_SPEC.md],22739,23660,0,LOW — Does not introduce false Disgust=0 labels. Correctly represents epistemic uncertainty.,EmoNoBa rows are excluded from Disgust binary cross-entropy loss during training. UBMEC (2079 positive) + MONOVAB (2067 positive) still provide Disgust signal. Requires a partial-label or label-masking training implementation (e.g. mask the Disgust loss term for EmoNoBa examples).,EmoNoBa val examples excluded from Disgust threshold optimization; threshold derived only from UBMEC/MONOVAB val examples. Smaller effective val set for Disgust.,EmoNoBa test examples excluded from Disgust F1 computation (or reported separately). Test Disgust score reflects only UBMEC/MONOVAB domain examples.,Macro-F1 computed with Disgust excluded from EmoNoBa evaluation; overall macro may change depending on how excluded label is averaged.,Standard sklearn ClassifierChain does not natively support partial labels / loss masking. Requires custom wrapper or label-propagation approach. Higher implementation complexity.,Scientifically honest; no artificial label noise; Disgust classifier trained on clean annotated data only; produces more reliable Disgust F1 estimate.,Requires non-standard training code; Disgust classifier has less training data (only 23660 examples vs 46399); UBMEC/MONOVAB domain may not generalize to EmoNoBa domain.,HIGH — requires custom sklearn wrapper for masked labels,Moderate — mask must be documented and saved with the dataset split,True
DISGUST-C,EmoNoBa — Disgust,Exclude EmoNoBa from Disgust training signal; retain for other 5 target emotions,[REQUIRES USER DECISION],22739,23660,0,LOW — EmoNoBa contributes to 5 clean emotion labels; does not introduce Disgust noise.,Similar to Strategy B at the Disgust link. EmoNoBa rows contribute fully to Anger/Joy/Sadness/Surprise/Fear training. Disgust link trained only on UBMEC+MONOVAB.,"In a ClassifierChain, the Disgust link is trained after other links; if chain order puts Disgust later, it receives chain-augmented features from EmoNoBa rows (without Disgust ground truth). Must ensure EmoNoBa Disgust is masked from loss computation only.",Evaluation of final BETC on EmoNoBa test rows: apply the Disgust predictor (trained on UBMEC+MONOVAB domain) but report a caveat that Disgust scores on EmoNoBa domain are extrapolated.,Macro-F1 on EmoNoBa test would include a Disgust component from a cross-domain predictor; this is a known source of uncertainty.,Possible with masked loss in ClassifierChain; same implementation complexity as Strategy B but semantically clearer about what is and isn't ground truth.,Most principled approach for a multi-label partial-label scenario; preserves EmoNoBa's valid annotations; does not inflate Disgust metrics artificially.,Higher implementation complexity; Disgust classifier has smaller training set; extrapolation risk when predicting Disgust for EmoNoBa domain.,HIGH,Moderate — requires saving which rows contributed to each label's training signal,True
DISGUST-D,EmoNoBa — Disgust,Hybrid: Use Strategy A with mandatory F5 sensitivity analysis; report Disgust results separately for EmoNoBa vs UBMEC/MONOVAB subsets,[PROPOSED — combines DATASET_SPEC.md rule with required sensitivity reporting],22739,46399,0,"MEDIUM — same label noise as A, but explicitly quantified and reported",Same as Strategy A; EmoNoBa Disgust=0 assumption used throughout training. F5 experiment (EXPERIMENT_PLAN.md) then re-evaluates excluding EmoNoBa from Disgust scoring.,Same as Strategy A for primary evaluation; F5 recomputes with EmoNoBa masked.,"Full test evaluation reports two Disgust metrics: (1) including EmoNoBa under the assumption, (2) excluding EmoNoBa (F5 sensitivity).",Primary Macro-F1 uses full matrix (A's approach); supplementary Macro-F1 from F5 shows the impact of removing EmoNoBa from Disgust.,Same as Strategy A (simple); no custom code needed.,Operationally simple; fully compatible with sklearn ClassifierChain; already aligned with DATASET_SPEC.md's documented rule; F5 provides the required scientific honesty check.,"Still introduces label noise; requires careful documentation that Disgust=0 in EmoNoBa is an assumption, not an annotation.",LOW (primary) + MEDIUM (F5 sensitivity analysis),High,True
LOVE-1,EmoNoBa — Love-only rows (2277 rows),Exclude Love-only rows from target-task corpus entirely,[PROPOSED — recommended if zero-label rows are undesirable],2277,0,2277,LOW — removes potentially misleading zero-label examples,"2277 fewer training examples. Final combined corpus ≈ 44,122 rows (before dedup). EmoNoBa contribution reduced to 20,462 rows.",Slightly smaller val set; Love-only examples removed from threshold optimization.,These examples not evaluated; cannot measure BETC performance on Love-expressing text.,Minor negative impact from smaller training set; avoids artificial all-zero training examples.,Fewer training examples; less class-imbalance pressure for rare classes.,Avoids training on all-zero label vectors; clean corpus; no ambiguity about what these examples teach the model.,Loses 2277 potentially informative Bangla social-media examples; reduction in corpus size; Love-only examples might still contain other detectable emotional signals.,LOW,High,True
LOVE-2,EmoNoBa — Love-only rows (2277 rows),Retain with masked target labels (unknown/unobserved for all 6 targets),[REQUIRES USER DECISION],2277,2277,0,LOW — correctly represents that these examples were not annotated for the 6 target emotions,2277 examples excluded from all 6 label training signals; their text may still contribute to TF-IDF vocabulary but not to label learning.,Cannot be used for threshold optimization on any target label.,Cannot be evaluated on any target label; must be reported separately.,Excluded from F1 computation; reduces effective test set size.,Requires partial-label support (same complexity as DISGUST-B). High implementation complexity for sklearn pipeline.,Most scientifically honest; text is not discarded; Love emotion is preserved in provenance metadata.,High implementation complexity; examples cannot contribute to F1 evaluation; effectively excluded from meaningful model evaluation.,HIGH,Moderate,True
LOVE-3,EmoNoBa — Love-only rows (2277 rows),Retain with all-zero target vector (treat as all-negative for 6 targets),[REQUIRES USER DECISION — documented assumption required if chosen],2277,2277,0,"MEDIUM-HIGH — implicitly claims these texts are negative for Anger, Disgust, Fear, Joy, Sadness, Surprise; this is an inference, not an annotation","2277 all-zero examples in training matrix; classifier sees them as 'none of the six target emotions'. If some of these texts genuinely express Joy or Sadness, this introduces noise.",All-zero examples contribute to threshold optimization; may push thresholds higher (fewer positives to predict).,Included in evaluation; false negatives predicted as correctly negative by definition.,Inflates recall for rare classes artificially; may improve subset accuracy metric artifactually.,Compatible with standard sklearn ClassifierChain; no custom code needed.,Operationally simple; no excluded rows; full corpus retained.,Introduces known label noise; conflates 'not annotated' with 'annotated negative'; violates RESEARCH_RULES.md rule 9 unless explicitly documented.,LOW,"High, but scientific validity is questionable",True
CONTEMPT-1,MONOVAB — Contempt-only rows (2128 rows),Exclude Contempt-only rows from target-task corpus,[PROPOSED — recommended for cleanliness],2128,0,2128,LOW — removes ambiguous examples where target emotion status is unknown,"2128 fewer training examples. MONOVAB contribution ≈ 8096 rows. Overall corpus ≈ 44,271 rows.",Smaller MONOVAB val partition.,Cannot evaluate BETC on Contempt-only MONOVAB texts.,Minor; slightly smaller MONOVAB contribution.,No impact; standard pipeline.,No ambiguity; no all-zero label noise; clean corpus.,Loses 2128 examples; Contempt examples might co-occur with target emotions that annotators did not record.,LOW,High,True
CONTEMPT-2,MONOVAB — Contempt-only rows (2128 rows),Retain with unknown/masked target labels,[REQUIRES USER DECISION],2128,0,0,LOW — correctly represents annotation gap,2128 examples with unknown targets; requires partial-label framework.,Cannot contribute to threshold optimization.,Cannot be evaluated on target emotions.,Excluded from F1 computation.,High implementation complexity; requires masked loss.,Scientifically honest; text retained in corpus metadata.,High complexity; effectively excluded from evaluation anyway.,HIGH,Moderate,True
CONTEMPT-3,MONOVAB — Contempt-only rows (2128 rows),Retain with all-zero target vector (treat as all-negative for 6 targets),[REQUIRES USER DECISION — documented assumption required],2128,2128,0,MEDIUM — contempt and disgust are closely related emotions; some texts labelled contempt-only may actually express disgust; treating them as disgust=0 risks introducing label noise specifically for disgust,2128 all-zero examples; may teach the classifier that Contempt-expressing text is negative for all six target emotions. Potential cross-emotion noise if contempt correlates with disgust.,Included in threshold optimization with all-zero ground truth.,Included in evaluation; problematic if these texts actually express target emotions.,Could artificially inflate accuracy for some classes.,No custom code needed; compatible with standard pipeline.,Simple; retains all examples in corpus.,Semantic overlap between contempt and disgust makes this especially risky; label noise for Disgust is plausible; violates RESEARCH_RULES.md rule 9 unless documented.,LOW,"High, but scientific validity questionable for Disgust label especially",True
