source_dataset,source_split,source_row_id,text,anger,disgust,fear,joy,sadness,surprise,emonoba_disgust_assumption,f5_eligible,original_love,original_class,original_contempt,original_enjoyment,domain,topic
EmoNoBa,Train,5454,লকাল বাস ভালো এটা থেকে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Travel
EmoNoBa,Train,22549,কত অভিজানই তো চলে কিন্তু ওয়াসার পানির অভিজান করে না কেন ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,7033,বিয়ের মহল ছেড়ে তিনি বিস্রাম নিতে চলে যান (৬ নং ছবি )বিয়ের ৫ দিন পর মারা যান এই নব বধু ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,21114,চাচাজি তো কেবল মাকে ধর্ষণ করেছেন ,0,0,0,0,1,0,True,True,0.0,,,,Facebook,Education
EmoNoBa,Train,23683,সত্যিকার মানুষ তারাই ভাই ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,19667,ভালবাসা আরো হাগার গুণ বেড়ে গেল ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal
EmoNoBa,Train,3182,ভাই নিজের সফটওয়্যার গুলোর প্রচার সহজে করে ফেলছেন ভালোই ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,6417,স্যার আমি আপনার এই নিয়ম এ স্কুল এ লিখেছিলাম কিন্তূ কেটে দিয়েছে। ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Education
EmoNoBa,Train,19041,খেলতে না পারলে এটাই বলে বাংলাদেশ ,1,0,0,0,0,0,True,True,0.0,,,,Youtube,Sports
EmoNoBa,Train,18001,নিজ হাতে গড়া মোর কাঁচা ঘর ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,18671,অসাধারণ 👌ধন্যবাদ অমি ভাই সহ পুরো ব্যাচেলর টিম কে ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,27367,বাহ! গানটা তো মজার। 😂 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,11349,"রানা ভাইরাল হইছে বলে,,,,তার পড়ালেখার খরচ নিতে চাচ্ছো? ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,8201,আমি বুঝি । আমি যখন কলেজে দ্বিতীয় বর্ষে তখন তো আমি গরিব ছেলেদের আমি কলেজে থাকা ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Personal
EmoNoBa,Train,10666,দেশ থেকে চলে এসে এখন আমি যে তার পাশে দাঁড়িয়ে আছি এটা যে সত্যি ,0,0,0,1,0,0,True,True,1.0,,,,Facebook,Personal
EmoNoBa,Train,9241,একদম বাজে নাটক জমজ ১১ বেশি অর্ধ্যেকেই ব্যাকরাউন্ড ইডিট করা ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,27663,তাদের প্রায় ১শ’ কোটি ব্যবহারকারীর অ্যাকাউন্ট থেকে হ্যাকাররা তথ্য হাতিয়ে নিয়েছে। এক বিবৃতিতে ইয়াহু জানায় ,1,0,1,0,0,1,True,True,0.0,,,,Facebook,Politics
EmoNoBa,Train,12546,গত কয়েক বছর ধরে আলবেসিলেস্তেদের হয়ে আছেন সেরা ফর্মে। মেসি হিগুয়েইনদের জন্য স্পেস তৈরী করতে যার জুড়ি নেই দলে। ৪। লাভেজ্জি - উইঙ্গার ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Sports
EmoNoBa,Train,13565,মাদারচোদ পদ্মা সেতুই বানাইতে দম যায় আর আসে আবার পদ্মার চেয়েও বড় সেতু কি গাজা বিক্রি করে বানাবে?আদিখ্যেতা। 🖕🖕 ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,18495,"দেশে নির্বাচন ব্যাবস্থা উঠে গিয়ে সিলেকশন ব্যাবস্থার উদ্ভব হয়েছে। বুবু যাকে সিলেক্ট করবে সেই মেয়র, সেই সংসদ সদস্য। আল্লাহ আমাদের দেশকে হেফাজত করুন। ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,21877,ভালবেসে বিয়ে করেছেন একজন এসিড দগ্ধ নারীকে। সম্প্রতি তাদের কোল জুড়ে এসেছে ফুট ফুটে সন্তান। অলোক প্রমাণ করেছেন মানুষের চেহারাই সব কিছু নয় ,0,0,0,1,0,0,True,True,1.0,,,,Facebook,Education
EmoNoBa,Train,11055,"যারা এই ব্লগ এ ডিজলাইক দিলো তারা হলো , উগান্ডার বাসিন্দা ",0,0,0,0,1,0,True,True,0.0,,,,Youtube,Personal
EmoNoBa,Train,15764,ভাই সেরকম গানটা ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Music
EmoNoBa,Train,23617,"কি বলবো সত্যি ওসাদারন, ",0,0,0,1,0,0,True,True,0.0,,,,Youtube,Entertainment
EmoNoBa,Train,23916,আমি চাই ওই বেটার পাসি হওক ... আপনার কি বলেন??? ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,4243,নপুংসক করে দেওয়া হোক। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics
EmoNoBa,Train,21654,আপনার কথা গুলা অনেক মজার।। 😄😄😄 ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Game
EmoNoBa,Train,23480,আমার কথা কখনও কি পড়বে তোমার মনে। যদি কখনও খবর পাও আমার চলে যাওয়ার কথা ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Politics
