dataset,native_label,target_label,status,mapping_type,rationale,evidence_source,coverage_positive_rows,coverage_total_rows,notes
EmoNoBa,Joy,joy,DIRECT,Exact taxonomy match,"EmoNoBa Joy is semantically identical to the target Joy/Happiness emotion. Both refer to positive hedonic states. The capitalization difference is a formatting artifact, not a semantic difference.","EmoNoBa paper (Amin et al., 2023); target taxonomy definition (DATASET_SPEC.md Sec 3)",10112,22739,Highest-prevalence label in EmoNoBa (44.47%).
EmoNoBa,Anger,anger,DIRECT,Exact taxonomy match,Anger is one of Ekman's six basic emotions. EmoNoBa Anger directly corresponds to the target Anger class.,EmoNoBa paper; Ekman (1992),4478,22739,19.69% prevalence.
EmoNoBa,Sadness,sadness,DIRECT,Exact taxonomy match,Sadness is one of Ekman's six basic emotions. EmoNoBa Sadness directly corresponds to the target Sadness class.,EmoNoBa paper; Ekman (1992),5681,22739,24.98% prevalence.
EmoNoBa,Surprise,surprise,DIRECT,Exact taxonomy match,Surprise is one of Ekman's six basic emotions. EmoNoBa Surprise directly corresponds to the target Surprise class.,EmoNoBa paper; Ekman (1992),1086,22739,Low prevalence (4.78%); imbalanced class.
EmoNoBa,Fear,fear,DIRECT,Exact taxonomy match,Fear is one of Ekman's six basic emotions. EmoNoBa Fear directly corresponds to the target Fear class.,EmoNoBa paper; Ekman (1992),401,22739,Very low prevalence (1.76%); severely imbalanced.
EmoNoBa,Love,NONE,EXCLUDED,Out-of-taxonomy label,"Love is not part of Ekman's six basic emotions and is not in the BETC target taxonomy (DATASET_SPEC.md Sec 3, finalized decision). Love is from the Junto Emotion Wheel and has no direct Ekman equivalent. DATASET_SPEC.md explicitly states Love must NOT be mapped to Disgust.",DATASET_SPEC.md Sec 3 [FINALIZED]; RESEARCH_RULES.md rule 20,4588,22739,2277 rows have Love as their ONLY active label. Dropping Love without a strategy leaves these rows as all-zero vectors or masks. REQUIRES USER DECISION on treatment. See harmonization_analysis.md.
EmoNoBa,Disgust,disgust,UNANNOTATED,No native annotation exists — target label only,"EmoNoBa does not include a Disgust annotation column. The target taxonomy requires a Disgust column. This is a missing/unobserved annotation problem, not an annotation of absence. Multiple strategies exist for filling this gap (see harmonization_analysis.md). DATASET_SPEC.md Sec 3 prescribes disgust=0 as the operational rule under a documented harmonization assumption, but this creates label-noise risk.",DATASET_SPEC.md Sec 3 [FINALIZED harmonization rule]; RESEARCH_RULES.md rule 9,0,22739,REQUIRES USER DECISION on strategy selection (A/B/C/D). All 22739 EmoNoBa rows are affected. See EmoNoBa Disgust strategy analysis in harmonization_analysis.md.
UBMEC,joy,joy,DIRECT,Exact taxonomy match (single-label to one-hot),"UBMEC joy directly matches target Joy. UBMEC is single-label; this row becomes a one-hot binary vector [joy=1, others=0].",UBMEC dataset documentation; Ekman (1992),3467,13436,25.80% of UBMEC rows. Conversion: all other 5 target columns receive 0 (valid for single-label 6-class datasets).
UBMEC,sadness,sadness,DIRECT,Exact taxonomy match (single-label to one-hot),UBMEC sadness directly matches target Sadness.,UBMEC dataset documentation; Ekman (1992),2683,13436,19.97% of UBMEC rows.
UBMEC,anger,anger,DIRECT,Exact taxonomy match (single-label to one-hot),UBMEC anger directly matches target Anger.,UBMEC dataset documentation; Ekman (1992),2480,13436,18.46% of UBMEC rows.
UBMEC,disgust,disgust,DIRECT,Exact taxonomy match (single-label to one-hot),UBMEC disgust directly matches target Disgust. This is UBMEC's major contribution: it provides Disgust signal missing from EmoNoBa.,UBMEC dataset documentation; Ekman (1992),2079,13436,15.47% of UBMEC rows. Sole dataset with clear Disgust annotation besides MONOVAB.
UBMEC,surprise,surprise,DIRECT,Exact taxonomy match (single-label to one-hot),UBMEC surprise directly matches target Surprise.,UBMEC dataset documentation; Ekman (1992),1366,13436,10.17% of UBMEC rows.
UBMEC,fear,fear,DIRECT,Exact taxonomy match (single-label to one-hot),UBMEC fear directly matches target Fear.,UBMEC dataset documentation; Ekman (1992),1361,13436,10.13% of UBMEC rows.
MONOVAB,anger,anger,DIRECT,Exact taxonomy match,MONOVAB anger directly matches target Anger.,MONOVAB dataset documentation; Ekman (1992),4499,10224,44.00% prevalence — dominant label in MONOVAB.
MONOVAB,disgust,disgust,DIRECT,Exact taxonomy match,MONOVAB disgust directly matches target Disgust.,MONOVAB dataset documentation; Ekman (1992),2067,10224,20.22% prevalence.
MONOVAB,enjoyment,joy,MAPPED,"Semantic near-equivalence (PROPOSED, not exact taxonomy)","Enjoyment is not identical to Joy in all emotion theories, but is the closest available MONOVAB concept to the Ekman Joy category. Enjoyment is a hedonic positive emotion representing pleasure, happiness, and positive affect — the same phenomenological cluster as Joy/Happiness. The MONOVAB authors likely used 'enjoyment' as their label for the Ekman Joy category. The mapping is semantically well-motivated but should not be treated as a certainty.",MONOVAB dataset documentation; Ekman (1992) on Happiness/Joy; Fredrickson (2001) on positive emotions,1601,10224,"[PROPOSED] — Mapping is reasonable but unverified against original MONOVAB annotation guidelines. REQUIRES USER DECISION on whether to treat as [FROZEN] or [REQUIRES DATA VERIFICATION]. If wrong, 1601 examples get mis-labelled as Joy."
MONOVAB,fear,fear,DIRECT,Exact taxonomy match,MONOVAB fear directly matches target Fear.,MONOVAB dataset documentation; Ekman (1992),56,10224,Extremely low prevalence (0.55%). Severely imbalanced.
MONOVAB,sadness,sadness,DIRECT,Exact taxonomy match,MONOVAB sadness directly matches target Sadness.,MONOVAB dataset documentation; Ekman (1992),1188,10224,11.62% prevalence.
MONOVAB,surprise,surprise,DIRECT,Exact taxonomy match,MONOVAB surprise directly matches target Surprise.,MONOVAB dataset documentation; Ekman (1992),100,10224,Very low prevalence (0.98%). Severely imbalanced.
MONOVAB,contempt,NONE,EXCLUDED,Out-of-taxonomy label,"Contempt is not part of the BETC target taxonomy (DATASET_SPEC.md Sec 3). Some emotion theories list contempt separately or as a variant of disgust/disdain, but the BETC target taxonomy is fixed at six Ekman emotions without contempt. DATASET_SPEC.md Sec 3 explicitly names contempt as a non-target label to discard.",DATASET_SPEC.md Sec 3 [FINALIZED]; RESEARCH_RULES.md rule 22,2960,10224,2128 rows have contempt as their ONLY active label. Discarding contempt leaves these rows with zero active target labels. REQUIRES USER DECISION on treatment. See harmonization_analysis.md.
