exclusion_reason,harmonization_rule,original_Anger,original_Fear,original_Joy,original_Love,original_Sadness,original_Surprise,original_anger,original_contempt,original_disgust,original_enjoyment,original_fear,original_sadness,original_surprise,source_dataset,source_row_id,source_split,text_snippet
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,19120,Train,ভালোবাসার আরেক নাম প্রিয় নবী হযরত মুহাম্মদ ( সাঃ)❤ 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,17250,Train,অন্তরে শুধু তুমি 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,5179,Train,নোয়াখালী এসে ব্লগ করর অনুরদ রইলো আফ্রিদি ভাইয়া।। 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,9698,Train,সুন্দর একটা ব্লগ ছিলো।🥰 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,13537,Train,মানুষের দোয়া-ভালোবাসা নিয়ে সাফল্যের হিমালয় পেরিয়ে যান 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,129,Train,চমক ভাই সত্যিই একটা চমক ।। 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,9264,Train,জীবনে আপনার মত হতে চাই 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,6512,Train,"অসাধারণ, পারভেজ ভাই😍 অসাধারণ কম্বিনেশন ডিজে রাহাত "
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,3066,Train,"খুবই মজাদার, হাস‍্যরসিক রাষ্ট্রপতি। মানুষটির মধ্যে এতটুকু অহংকার নেই। একেবারে সা"
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,7634,Train,ভাইয়া আপনার ভিডিও অনেক ভালো লাগে। ভাইয়া আমি আপনার সাথে একবার দেখা করতে চাই ভাইয়া
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,7819,Train,আশরাফুলকে দেখতে চাই জাতিয় দলে 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,24830,Train,আবিসা মনি শুভ জন্মদিন। মনি তুমি ভালো মানুষ হও। তোমার জন্য দোয়া করি।অনেক অনেক ভাল
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,8435,Train,সত্যি আজ মন থেকে আপনাকে স্যালুট জানাই😍😍 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,5541,Train,আল্লাহ যেন আকবরের বোনকে ভালো রাখে আর জান্নাতি হবার তৌফিক দান করুক আল্লাহু আমিন ই
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,27983,Train,"ব্যাচেলার পয়েন্টও দেখবো কিছু দিনের বিতরে,ইনশাআল্লাহ "
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,12520,Train,কুমিল্লা বেষ্ট হবে💙💙 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,17803,Train,ভাই আমি আপনার বড় ফেন আ 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,1528,Train,ভিডিও টা দেখে সত্যি মন জুড়িয়ে গেলো। ধন্যবাদ ভাইয়া। 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,589,Train,বাংলাদেশের দল জানাই আন্তরিক অভিনন্দন এবং শুভেচ্ছা 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,11874,Train,ফেসবুকে আপনার ফ্রেন্ড হতে চাই প্লিজ আমাকে ফ্রেন্ড অ্যাড দিবেন 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,22924,Train,ভালোবাসা বেরে গেলো তিনজনের প্রতিই 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,2312,Train,উই লাভ ইউ 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,11517,Train,আমার বিশ্বাস মোস্তাফিজ পারবে 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,379,Train,তোমাকে আমাদের মনে থাকবে 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,2807,Train,"আমার আপনার সবাই কে সুন্নাত শিখতে হবে,, ইসলামের শত্রু থাকবেই,, যেমন ছিল নমরুদ ফের"
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,9577,Train,তার টাকাকে নয় ♥ ছেলেদের বলছি.... আপনি যদি চান যে একটি মেয়ে আপনাকে সারা জীবন ভা
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,20850,Train,আশা করি এই রানার মত আরও অনেক রানার পাশে দাঁড়াবে তৌহিদ আফ্রিদি💖💖 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,9708,Train,"জুটিটা খুবিই ভালো লাগে,,,, "
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,4618,Train,মেয়েকে বেশি ভালো লাগে 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,23019,Train,"আজকে আরেক তৌহিদ আফ্রিদিকে দেখতে পেলাম পুরো ভিডিওটাই,,,,,,সব সময় ভালোবেসেছি, ভালো"
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,1909,Train,মহৎ মানুষ গুলো বেচে থাক আজীবন। 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,1141,Train,একই পর্দায় দুইজন প্রিয় মানুষ।।।ভালোবাসা রইল।।। 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,27407,Train,"আফ্রিদি তুমি অনেক বড় মনের মানুষ ভাই,আরো বড় হও মাদ্রাসার এতিম শিশুদের পাশে একটু দ"
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,17574,Train,হৃদয় গহিনে তোমায় 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,12293,Train,নেইম ইজ দ্যা বেষ্ট 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,2170,Train,তাই ও তোমাকে ভুল করে..... ও ভেবেছে ওর বাপ ফিরে এসেছে। সব শুনে আনু ছেলেটাকে কোলে 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,9928,Train,ভাটি অঞ্চলে ছিল সেই কন্যার দেশ দু’চোখে তার আহা রে কি মায়া 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,4040,Train,আর আমাদের কিং মেসি কিভাবে দেখে 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,14085,Train,ডেফিনেটলি এটা ইউটিবে আমার মোস্ট ওয়াচ ভিডিও😍😍 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,9209,Train,বলবো ভালবাসি। তুমি শুনবে না 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,7985,Train,নিসন্দেহে আফ্রিদি ভাই বিনা অহংকারী লাভ উ ভাই😍💓 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,1602,Train,দুইটা ভালোবাসা একসাথে 😍😍😍😍😍😍 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,20827,Train,তৌহিদ আফ্রিদি ভাই আপনি বাংলাদেশ গব 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,21736,Train,গানটা কলিজায় লাগেরে ভাই 💝 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,27135,Train,আপনার সাথে আমি খেলতে চাই 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,22214,Train,"পারভেজ ভাইয়ের গলায় আরো গান শুনতে চাই,,,😍😍😍😍কে কে একমত লাইক দেন👍👍👍👍👍 "
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,20330,Train,তুমাদের দুজনকে এক সাথে দেখে খুব ভাল লাগলো। তওহীদ তুমি সবার সাথে ভাল মিশতে পার।এই
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,16195,Train,ভাই আজ থেকে আপনি আফরিতী ভাই না একটা ভালবাসার ভাই 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,17047,Train,দুই ভালবাসার জয় হইছে... বন্ধু প্লাস বোনে ভালবাসা 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,22562,Train,মহিয়সী তুমি বাজিয়েছিলে প্রেরণার বীণ; 
LOVE-1: Love is the only active native label; excluded after Love excluded from target taxonomy,LOVE-1,0,0,0,1,0,0,,,,,,,,EmoNoBa,27,Train,কাবিলা তুই একটা মাল রে ভাই 
