group_id,group_type,internal_id,source_dataset,source_split,source_row_id,is_canonical,conflict_status,action,canonical_group_id,label_vector,note
20d34145b2cd,A,35353,MONOVAB,NONE,7327,True,IDENTICAL,CANONICAL_KEPT,20d34145b2cd,"(1, 0, 0, 0, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=MONOVAB, split=NONE, src_row_id=7327"
20d34145b2cd,A,35373,MONOVAB,NONE,7365,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,20d34145b2cd,"(1, 0, 0, 0, 0, 0)",Collapsed into canonical (group_id=20d34145b2cd). Labels identical.
1b92bc3960f5,A,29627,UBMEC,NONE,9165,True,IDENTICAL,CANONICAL_KEPT,1b92bc3960f5,"(0, 0, 0, 0, 0, 1)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=9165"
1b92bc3960f5,A,30404,UBMEC,NONE,9942,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1b92bc3960f5,"(0, 0, 0, 0, 0, 1)",Collapsed into canonical (group_id=1b92bc3960f5). Labels identical.
a5360353ed25,A,31985,UBMEC,NONE,11523,True,IDENTICAL,CANONICAL_KEPT,a5360353ed25,"(0, 0, 0, 1, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=11523"
a5360353ed25,A,32012,UBMEC,NONE,11550,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,a5360353ed25,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=a5360353ed25). Labels identical.
a5360353ed25,A,32016,UBMEC,NONE,11554,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,a5360353ed25,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=a5360353ed25). Labels identical.
a5360353ed25,A,32017,UBMEC,NONE,11555,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,a5360353ed25,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=a5360353ed25). Labels identical.
a5360353ed25,A,32039,UBMEC,NONE,11577,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,a5360353ed25,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=a5360353ed25). Labels identical.
a5360353ed25,A,32040,UBMEC,NONE,11578,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,a5360353ed25,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=a5360353ed25). Labels identical.
68806a304a59,B,28847,UBMEC,NONE,8385,False,CONFLICTING,RETAINED_UNRESOLVED,,"(0, 0, 0, 1, 0, 0)",Conflicting label vector within this text group; requires user decision
68806a304a59,B,29701,UBMEC,NONE,9239,False,CONFLICTING,RETAINED_UNRESOLVED,,"(0, 0, 1, 0, 0, 0)",Conflicting label vector within this text group; requires user decision
466e4ea59927,A,32010,UBMEC,NONE,11548,True,IDENTICAL,CANONICAL_KEPT,466e4ea59927,"(1, 0, 0, 0, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=11548"
466e4ea59927,A,32033,UBMEC,NONE,11571,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,466e4ea59927,"(1, 0, 0, 0, 0, 0)",Collapsed into canonical (group_id=466e4ea59927). Labels identical.
fa11803557de,A,21171,UBMEC,NONE,709,True,IDENTICAL,CANONICAL_KEPT,fa11803557de,"(0, 1, 0, 0, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=709"
fa11803557de,A,21531,UBMEC,NONE,1069,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,fa11803557de,"(0, 1, 0, 0, 0, 0)",Collapsed into canonical (group_id=fa11803557de). Labels identical.
8a4430c83ea5,A,21112,UBMEC,NONE,650,True,IDENTICAL,CANONICAL_KEPT,8a4430c83ea5,"(0, 1, 0, 0, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=650"
8a4430c83ea5,A,21771,UBMEC,NONE,1309,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,8a4430c83ea5,"(0, 1, 0, 0, 0, 0)",Collapsed into canonical (group_id=8a4430c83ea5). Labels identical.
8a4430c83ea5,A,22114,UBMEC,NONE,1652,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,8a4430c83ea5,"(0, 1, 0, 0, 0, 0)",Collapsed into canonical (group_id=8a4430c83ea5). Labels identical.
f082cc377bc2,A,20918,UBMEC,NONE,456,True,IDENTICAL,CANONICAL_KEPT,f082cc377bc2,"(0, 0, 0, 0, 0, 1)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=456"
f082cc377bc2,A,22126,UBMEC,NONE,1664,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,f082cc377bc2,"(0, 0, 0, 0, 0, 1)",Collapsed into canonical (group_id=f082cc377bc2). Labels identical.
3be4b4e66e07,A,21569,UBMEC,NONE,1107,True,IDENTICAL,CANONICAL_KEPT,3be4b4e66e07,"(0, 1, 0, 0, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=1107"
3be4b4e66e07,A,21839,UBMEC,NONE,1377,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,3be4b4e66e07,"(0, 1, 0, 0, 0, 0)",Collapsed into canonical (group_id=3be4b4e66e07). Labels identical.
3be4b4e66e07,A,22134,UBMEC,NONE,1672,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,3be4b4e66e07,"(0, 1, 0, 0, 0, 0)",Collapsed into canonical (group_id=3be4b4e66e07). Labels identical.
7c8bd17103cb,C,51,EmoNoBa,Train,1830,True,IDENTICAL,CANONICAL_KEPT,7c8bd17103cb,"(0, 0, 0, 1, 0, 0)","Selected as canonical. Rule: meta_score=2, ds=EmoNoBa, split=Train, src_row_id=1830"
7c8bd17103cb,C,31089,UBMEC,NONE,10627,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,7c8bd17103cb,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=7c8bd17103cb). Labels identical.
8f02e35e8312,A,21293,UBMEC,NONE,831,True,IDENTICAL,CANONICAL_KEPT,8f02e35e8312,"(0, 0, 0, 1, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=UBMEC, split=NONE, src_row_id=831"
8f02e35e8312,A,22136,UBMEC,NONE,1674,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,8f02e35e8312,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=8f02e35e8312). Labels identical.
8c081da8ba3a,C,19211,EmoNoBa,Test,27970,True,IDENTICAL,CANONICAL_KEPT,8c081da8ba3a,"(0, 0, 0, 1, 0, 0)","Selected as canonical. Rule: meta_score=2, ds=EmoNoBa, split=Test, src_row_id=27970"
8c081da8ba3a,C,39904,MONOVAB,NONE,38174,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,8c081da8ba3a,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=8c081da8ba3a). Labels identical.
f29550a3cd91,A,39522,MONOVAB,NONE,37772,True,IDENTICAL,CANONICAL_KEPT,f29550a3cd91,"(0, 0, 0, 1, 0, 0)","Selected as canonical. Rule: meta_score=0, ds=MONOVAB, split=NONE, src_row_id=37772"
f29550a3cd91,A,39595,MONOVAB,NONE,37848,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,f29550a3cd91,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=f29550a3cd91). Labels identical.
f29550a3cd91,A,39603,MONOVAB,NONE,37856,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,f29550a3cd91,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=f29550a3cd91). Labels identical.
f29550a3cd91,A,40059,MONOVAB,NONE,38367,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,f29550a3cd91,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=f29550a3cd91). Labels identical.
1952af3b5247,E+C,11703,EmoNoBa,Train,11300,True,IDENTICAL,CANONICAL_KEPT,1952af3b5247,"(0, 0, 0, 1, 0, 0)","Selected as canonical. Rule: meta_score=2, ds=EmoNoBa, split=Train, src_row_id=11300"
1952af3b5247,E+C,4594,EmoNoBa,Train,18455,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
1952af3b5247,E+C,15386,EmoNoBa,Train,21214,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
1952af3b5247,E+C,3243,EmoNoBa,Train,21476,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
1952af3b5247,E+C,4247,EmoNoBa,Train,22485,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
1952af3b5247,E+C,19441,EmoNoBa,Test,11235,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
1952af3b5247,E+C,19584,EmoNoBa,Test,20231,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
1952af3b5247,E+C,39415,MONOVAB,NONE,37660,False,IDENTICAL,COLLAPSED_INTO_CANONICAL,1952af3b5247,"(0, 0, 0, 1, 0, 0)",Collapsed into canonical (group_id=1952af3b5247). Labels identical.
