,comment,anger,contempt,disgust,enjoyment,fear,sadness,surprise
0,"নিউ মার্কেট সংঘর্ষের ঘটনাটিকেও রাজনৈতিক রুপ দেয়ায় সরকারকে অভিনন্দন।
বিএনপির নেতাকর্মী সবাই আসামি।",1,1,0,0,0,0,0
1,আখেরি জামানা,0,1,0,0,0,1,0
2,এই ভাবেই আইনের শাষন প্রতিষ্ঠা করেন?,0,1,1,0,0,0,0
4,আর কত নাটক তোরা করবি,1,0,1,0,0,0,0
5,শোষিত জনগন এইটাই আশা করেছিল!!!,1,0,1,0,0,0,0
7,সকল দেশের সেরা উলটা দেখেছি বন্ধু আমি,0,1,0,0,0,0,0
8,হা হা হা হো হো হো হি হি হি পালাবি কোথায় রে কালিয়া,0,1,0,1,0,0,0
9,ওয়াক-থু,1,0,1,0,0,0,0
11,"বাংলাদেশ টা পুরোটাই একটা বিনোদন, এই দেশে বলে কথা",0,1,1,0,0,0,0
12,বাহ ওস্তাদ বাহ।।।,0,1,0,0,0,0,0
13,"ওয়াও বাংলাদেশ গোয়েন্দা সংস্থা টিম।
দিন আসবে ওই দিনের অপেক্ষায় থাকুন।
এক মাঘে শীত যায় না।
দিনের পর যেমন রাত আসে ঠিক রাতের পর একটা নতুন দিন আসে নতুন দিনে অনেক কিছু পরিবর্তন হয়ে যাইতে পারে।
তাই সময় থাকতে ভালো হয়ে যান পুলিশ ভাই।",1,1,0,0,0,0,0
14,এমন দেশটি কোথাও খুঁজে পাবে কি তুমি!,0,1,0,0,0,0,0
15,মজা লাগলো,0,1,0,1,0,0,0
17,প্রহসন,0,1,0,0,0,0,0
19,"এটাকে বলে সাইন্স,",0,1,0,0,0,0,0
20,বিম্পি,0,1,0,0,0,0,0
21,বিএনপির নাম না দিলে চুলকানি হবে,0,1,1,0,0,0,0
22,আল্লাহ এদের বিচার করবে। আকাম করল ছাত্রলীগের লীগ। আর মামলা দেয় বি এন পির নামে।,1,1,1,0,0,0,0
23,মানুষ জানে আসামী কারা বি এনপি,0,0,1,0,0,0,0
24,বাহ কি চমৎকার বুদ্ধি,0,1,0,0,0,0,0
25,এটাই জাতি শুনতে চেয়েছিলো আপনাদের কাছে,1,1,0,0,0,0,0
27,জামাত তাহলে এবার বাদ গেলো।।,0,1,0,0,0,0,0
28,"এই রমজানে ও এমন মিথ্যাচার!!
আল্লাহ আপনি এদের বিচার করুন।",1,0,1,0,0,0,0
29,বাহ!! এখানেও বিরোধী দলের হাত আছে!!এতো বড় একটা ঘটনায় বিএনপি কে জরানো হবে না সেটা কি সম্ভব নাকি।,1,1,1,0,0,0,0
30,হা হা হা হা হা হা হা,0,1,0,1,0,0,0
31,হ্যাঁ সব ই বিএনপি।মশা মাছি মারা গেলে ও আর কিছু দিন পর বলবে বিএনপি মারছে।কি অবস্থা।পুরাই হাইস্যকর ব্যাপার,0,1,0,0,0,0,0
32,কি সুন্দর কথা,0,1,0,0,0,0,0
34,রোজাটা হালকা হয়ে গেল মনে হয়,0,1,0,0,0,0,0
35,হেলমেট বাহিনী কে রক্ষা করার কূটকৌশল !,0,1,1,0,0,0,0
36,হ্যাইসসসকর,0,1,0,0,0,0,0
37,হা হা হা।এমনটাই পারে এই অবোধ সরকার। এর মৃত ব্যাক্তি কে আসামি করে।আবার মৃত ব্যাক্তি ভোট দেয়।সব এই সরকারের আমলে সম্ভব।,0,1,1,0,0,0,0
38,সন্ত্রাসী দল ভিম্পি দেশের শান্তি বিনষ্ট করতে হেন কাজ নাই যা করে না,1,0,1,0,0,0,0
39,এটা সবাই। জানে আসামী বি এন পি নেতারাই হবে সিসিটিভি ফুটেজ কি আর আসে যায় সব উল্টো,0,1,1,0,0,0,0
41,এটা আমরা আগে থেকেই জানি মামলা হবে বিএনপির নামে,0,1,0,0,0,0,0
42,আমরা আগেই জানতাম ১৩ বছরের অভিজ্ঞতা।,0,1,0,0,0,0,0
43,"দিন শেষে দেখা যাবে,,জিয়া পরিবার জরিত,,,",0,0,1,0,0,0,0
44,আমার মনে হচ্ছে প্রধান আসামী সাবেক রাষ্ট্রপতি জিয়াউর রহমান ।,0,1,0,0,0,0,0
45,"ভালো কাজ ও উন্নয়ন বললেই আওয়ামী লীগের নাম.... দুর্নীতি চোর ডাকাত মারামারি সন্ত্রাস মাদক ব্যবসা সব আসে বিএনপির কাছ থেকে ।
বিচার একদিন করবে একজন তিনি দেখছেন সবকিছু। সেদিন কৈফিয়ত দিতে হবে... আর সে সময় বেশি দিন নেই।",1,0,0,0,0,0,0
49,"জিয়াউর রহমান এক নম্বর আসামি হলে জাতি আরো বেশি বিনোদন পেতো, জাতির বিনোদনে ঘাটতি ঘটানোর জন্য কতৃপক্ষকে অবশ্যই কঠিন জবাবদিহি করতে হবে.....!",1,1,0,0,0,0,0
50,বাংলাদেশের গোয়েন্দারা কী ট্যালেন্ট!!!,0,1,0,0,0,0,0
51,এটা নতুন কিছু না তুদের মা সাথে সহবাস করছে যে এটা বলস নাই,1,1,1,0,0,0,0
52,"সালা রাজনীতি।
আর কত উপায়ে তোরা রাজনীতি করবি কর। শেষটা দেখার অপেক্ষা।",1,0,1,0,0,0,0
53,জিয়াউর রহমান জড়িত থাকতে পারে।,0,1,0,0,0,0,0
54,বিএনপিকে জড়ানো অর্থ হলো মামলার গুরুত্ব হালকা করে দেয়া।,0,1,0,0,0,0,0
55,এই মারামারি পুলিশের অর্থ বাণিজ্যের সুযোগ ও সরকারের বিরোধীদলের নেতাকর্মীদের হয়রানির সুযোগ হয়েছে অথচ ঢাকা কলেজের সব ছাএ ও নিউমার্কেটের সব বেবসায়ীরা জড়িত,0,0,1,0,0,0,0
56,পুলিশের তদন্তে কমিটি এটা বুঝাইয়া দিলেন যে রানা প্লাজা বিএনপির ধাক্কায় পরে গেছে,0,1,0,0,0,0,0
57,এই জালিমের বিচার একদিন হবে আল্লাহ্ ইশারাতে দুনিয়া তে,1,0,1,0,0,0,0
58,নাটক নাটক,0,1,0,0,0,0,0
59,এটা নতুন কথা নয় স্লোগান দিলো জয় বাংলা মামলা হলো নিরিহ লোকের নামে,0,1,0,0,0,0,0
61,নোংরা রাজনীতির শ্রেষ্ঠ উদাহরণ বর্তমান সময়ের বাংলাদেশ,1,0,0,0,0,0,0
63,এই হলো বাংলাদেশের পুলিশ তবে পুলিশ কখনো মানুষ হতে পারে না পুলিশ এটা পুলিশ,1,0,1,0,0,0,0
65,"হুমমমমম.... তাহলে অবশেষে পাওয়া গেল আসামী, তাহলে তো আর কোন কথাই নাই, এখন বিচার করতেও সুবিধা হবে, আসল ঘটনা আর খুজার দরকার হবেনা,",1,1,0,0,0,0,0
66,আমি বুঝলাম না এখানে জিয়াউর রহমানের নাম বাদ পড়লো ক্যামনে,0,1,0,0,0,0,0
67,এজন্যই আমি বাংলাদেশকে পছন্দ করি।,0,1,0,0,0,0,0
68,শাক দিয়ে মাছ ঢাকা হয়ে গেছে। মানে গায়েবি মামলা শুরু,0,1,0,0,0,0,0
69,এটা হাস্যকর,0,1,0,0,0,0,0
70,পুরাতন খেলা নতুন মোড়‌কে,0,1,0,0,0,0,0
71,ব্যাপারটা হাস্যকর,0,1,0,0,0,0,0
73,এই দেশের পুলিশ কি কখনোই যৌক্তিক কিছু করবে না?,0,0,1,0,0,0,0
74,"আর হেলমেট বাহিনী,,, কত নম্বর,,,",0,1,0,0,0,0,0
75,"শেখাসিনা আর মৃনাল কান্তি আকাম কুকাম করবে,দোষ হবে ওয়াজেদ মিয়ার।",0,1,0,0,0,0,0
76,এটাই প্রমাণ বিচার ব্যবস্থার প্রতি অনাস্থা কেন,0,0,1,0,0,0,0
78,উয়্যাও,0,1,0,0,0,0,0
79,হাহাহহাহাহহাহক হাস্যকর কথা,0,1,0,0,0,0,0
80,"বজ্রপাতে কেউ মারা গেলেও বিএনপি দ্বায়ী
কয়েকদিন পর এমন নিউজ ও শোনা যাবে
হয়রানীর একটা সীমা থাকে",1,1,0,0,0,0,0
81,"এটা তো পুরনো খবর,,, নতুন কিছু বলুন",0,1,0,0,0,0,0
82,লে হালুয়া....,0,1,0,0,0,0,0
83,একেবারেই হাস্যকর,0,1,0,0,0,0,0
84,‌জিয়াউর রহমান‌কে ও আসামী করা যেত। কিছু হউক বা না হউক বাদীর প‌দোন্ন‌তি নি‌শ্চিত।,0,1,0,0,0,0,0
85,"এখনও যারা বাহিরে ঘোরাফেরা করছে,,তাদের ভিতরে নেবার সুযোগ এসেছে",0,1,0,0,0,0,0
86,যাক সারাদিন রোজা রাখার পর এমন একটা নিউজ দেখে শরীরে একটা ভাব আইছে!!,0,1,0,0,0,0,0
87,ভাগ তো হুজুর ছিল না। তাহলে হেফাজতের নেতাদের বিরুদ্ধে মামলা হয়ে যেত,0,1,0,0,0,0,0
89,"চারিদিকে শুধু মজার মজার সংবাদ, হাসি আর থামে না।",0,1,0,0,0,0,0
90,কি আজব দেশ। এখানে একটা সুষ্ঠু নিরপেক্ষ তদন্ত হবে না। এটা কে বিচারহীনতা।,0,0,1,0,0,0,0
91,পুলিশ ভাইদের নতুন আয়ের পথ তৈরি হল.,0,1,0,0,0,0,0
93,"তারমানে অপরাধি তাদের দলের,, বাংলাদেশের মানুষকে আর কত বুকা বানাবে??",0,0,1,0,0,0,0
94,ডিম থেরাপি দেওয়া হউক,1,0,1,0,0,0,0
95,"বিচার সঠিক হচ্ছে না, এক নাম্বার আসামি করা হোক তারেক জিয়াকে। উনিই প্রথমে ইট পাটকেল মেরেছে",0,1,0,0,0,0,0
96,বিএনপির সাবেক সভাপতির নাম দিয়েছেন কেন বর্তমানে তার নাম দিতে এই বাল ছাড়া আপনারা কোন বাল সিট্রয়েন পারেন কিনা জাতি জানতে চাই,1,0,0,0,0,0,0
97,তাহলে এবার আমরা নিরপেক্ষ বিচার দেখতে পাব ।আর এটা খুব দ্রুত হবে।,0,1,0,0,0,0,0
98,কিসের সাথে কি পান্তা ভাতে ঘি,0,1,0,0,0,0,0
99,বাহ হালারা বাহ কিয়া সিন দেখাইলো,0,1,0,0,0,0,0
100,"বিচার মানি তালগাছ আমার।
দিন শেষে এই হইলো অবস্থা।
বি এন পি ধরতে হবে এইটাই হইলো মুল কারণ!",1,0,0,0,0,0,0
101,"জয়,বাংলা",0,1,0,0,0,0,0
102,আওয়ামী পুলিশ বিএনপিকে দিন দিন আরো জনপ্রিয় করে তুলছে।,0,1,0,0,0,0,0
103,আওয়ামী লীগের হেলমেট বাহিনী একটা মানুষ পিটিয়ে মেরে ফেললো আর মামলা হলো কার নামে....,1,0,1,0,0,0,0
104,এটা সত্যিই হাস্যকর।,0,1,0,0,0,0,0
106,"আর কত করবি তোরা কর এক দিন দেখা হবে,,,,,,,...... ইনশাআল্লাহ",1,0,1,0,0,0,0
107,"বি এন পির দুঃখের ফুন্দে আংঙ্গুল,",0,1,0,0,0,0,0
108,"এদেশে কি শুধু বিএনপি বসবাস ও ব্যবসা করে??
যত অঘটন সব বিএনপি করে?
তাহলে বোঝা গেল এদেশে বিএনপির সমর্থন বেশি।
অন্যদিকে বিরোধী দল বলে দেশে বিএনপি নেই।
দেশের জনগন জানত এমন একটি নিউজ আসবে,,",0,1,1,0,0,0,0
109,"বাহ! সেই হইছে।
এখনো বিম্পি করে ক্যা?",0,1,0,0,0,0,0
110,বাহ কি সুন্দর বিচার ব্যবস্হা,0,1,0,0,0,0,0
