group_id,group_type,n_rows,n_sources,sources,is_cross_source,is_cross_split,is_conflicting,n_label_vectors,action
20d34145b2cd,A,2,1,MONOVAB,False,False,False,1,CANONICAL_SELECTED
1b92bc3960f5,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
a5360353ed25,A,6,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
68806a304a59,B,2,1,UBMEC,False,False,True,2,CONFLICT_RETAINED_UNRESOLVED
466e4ea59927,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
fa11803557de,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
8a4430c83ea5,A,3,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
f082cc377bc2,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
3be4b4e66e07,A,3,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
7c8bd17103cb,C,2,2,EmoNoBa|UBMEC,True,False,False,1,CANONICAL_SELECTED
8f02e35e8312,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
8c081da8ba3a,C,2,2,EmoNoBa|MONOVAB,True,False,False,1,CANONICAL_SELECTED
f29550a3cd91,A,4,1,MONOVAB,False,False,False,1,CANONICAL_SELECTED
1952af3b5247,E+C,8,2,EmoNoBa|MONOVAB,True,True,False,1,CANONICAL_SELECTED
e9861d3f2aac,C,2,2,EmoNoBa|MONOVAB,True,False,False,1,CANONICAL_SELECTED
b490b99e9851,A,2,1,EmoNoBa,False,False,False,1,CANONICAL_SELECTED
81864f1d1367,C,2,2,MONOVAB|UBMEC,True,False,False,1,CANONICAL_SELECTED
568b9eda0b5a,A,2,1,EmoNoBa,False,False,False,1,CANONICAL_SELECTED
22123a885101,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
d89b95c1fd07,A,6,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
eac76e2d0e13,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
005fcd560a8f,B,14,1,UBMEC,False,False,True,3,CONFLICT_RETAINED_UNRESOLVED
c862a6ab34de,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
e35ea4fa375a,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
a939422f46ab,C,5,2,MONOVAB|UBMEC,True,False,False,1,CANONICAL_SELECTED
9989c55d3697,A,3,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
f3c8dd97e2fa,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
523358193c2a,D,3,2,MONOVAB|UBMEC,True,False,True,2,CONFLICT_RETAINED_UNRESOLVED
c72022605bf3,C,2,2,MONOVAB|UBMEC,True,False,False,1,CANONICAL_SELECTED
76353fbca55e,D,5,2,MONOVAB|UBMEC,True,False,True,2,CONFLICT_RETAINED_UNRESOLVED
2566100a7f91,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
9aa804e8a059,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
4a19659125a1,C,2,2,MONOVAB|UBMEC,True,False,False,1,CANONICAL_SELECTED
bbd6ce9d5620,D,2,2,MONOVAB|UBMEC,True,False,True,2,CONFLICT_RETAINED_UNRESOLVED
8c1453d62b0b,A,2,1,MONOVAB,False,False,False,1,CANONICAL_SELECTED
e8980edd171a,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
b9b822695fe4,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
2123a88c0b9b,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
b5a60694ebbc,B,3,1,UBMEC,False,False,True,2,CONFLICT_RETAINED_UNRESOLVED
55bdcc600779,A,2,1,UBMEC,False,False,False,1,CANONICAL_SELECTED
