source_dataset,source_split,source_row_id,text,anger,disgust,fear,joy,sadness,surprise,emonoba_disgust_assumption,f5_eligible,original_love,original_class,original_contempt,original_enjoyment,domain,topic,sample_id,processed_text
EmoNoBa,Train,12,সব জায়গায় ইসলাম নিয়ে টানাটানি করিস কেন ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Entertainment,EMO-12-c500d719,সব জায়গায় ইসলাম নিয়ে টানাটানি করিস কেন
EmoNoBa,Train,15,ক্লাশ সেভেনে যখন পড়তাম স্কুল মিস দেওয়ার কারণে এক স্যার আমাকে সহ অনেক কে সেদিন কচ্ছপ চেঙ্গি দিয়েছিলেন ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Politics,EMO-15-f321f1cf,ক্লাশ সেভেনে যখন পড়তাম স্কুল মিস দেওয়ার কারণে এক স্যার আমাকে সহ অনেক কে সেদিন কচ্ছপ চেঙ্গি দিয়েছিলেন
EmoNoBa,Train,16,ওদের ফাঁসি চাই ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-16-874d9b08,ওদের ফাঁসি চাই
EmoNoBa,Train,17,ব্লকটা অনেক ভালো লাগলো। ,0,0,0,1,0,0,True,True,0.0,,,,Youtube,Personal,EMO-17-fc40157a,ব্লকটা অনেক ভালো লাগলো।
EmoNoBa,Train,20,চমক ভাইয়ের প্রত্যেকটা বই অসাধারণ। 😍😍😍😍 ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education,EMO-20-1c4d8c72,চমক ভাইয়ের প্রত্যেকটা বই অসাধারণ। 😍😍😍😍
EmoNoBa,Train,21,এরপরও ইম্রুল ব্রো ছাড়া বিশ্বকাপের তথাকথিত সেরা একাদশ নিয়ে ইংল্যান্ডে খেলতে যাও ,1,0,0,0,1,0,True,True,0.0,,,,Facebook,Sports,EMO-21-2a4d23e9,এরপরও ইম্রুল ব্রো ছাড়া বিশ্বকাপের তথাকথিত সেরা একাদশ নিয়ে ইংল্যান্ডে খেলতে যাও
EmoNoBa,Train,30,এটাই চাইছিলাম এতদিন♥√ ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Education,EMO-30-8170f7ab,এটাই চাইছিলাম এতদিন√
EmoNoBa,Train,33,এই বোকাচোদা মনে রাখিস ভারত যদি তোদের বর্ডারে মুতে দেয় তোদের দেশে বন্যা চলে আসবে ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Sports,EMO-33-50edd4f7,এই বোকাচোদা মনে রাখিস ভারত যদি তোদের বর্ডারে মুতে দেয় তোদের দেশে বন্যা চলে আসবে
EmoNoBa,Train,35,"এই বেটির দেশে বিচার বলে কিছু হবেনা সেটা ওরা বুঝে গেছে। তাই উল্লাস। করবেই তো, কেন করবে না! ",1,0,0,0,1,0,True,True,0.0,,,,Youtube,Politics,EMO-35-f51af3ee,"এই বেটির দেশে বিচার বলে কিছু হবেনা সেটা ওরা বুঝে গেছে। তাই উল্লাস। করবেই তো, কেন করবে না!"
EmoNoBa,Train,39,ভিডিওতে অানলাইক দেওয়া মানুষগুলা তাহসিনেশনের ফেন।। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Personal,EMO-39-a8473b20,ভিডিওতে আনলাইক দেওয়া মানুষগুলা তাহসিনেশনের ফেন।।
EmoNoBa,Train,42,০০০ রুপি। ২ মাসে শুধুমাত্র আইসিইউ এর ভাড়াই আসে ১২ লক্ষ রূপী। অপারেশন চার্জ ৮ লক্ষ রূপি। ঔষধ পত্র ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Education,EMO-42-f8f2df02,০০০ রুপি। ২ মাসে শুধুমাত্র আইসিইউ এর ভাড়াই আসে ১২ লক্ষ রূপী। অপারেশন চার্জ ৮ লক্ষ রূপি। ঔষধ পত্র
EmoNoBa,Train,43,"তৌহিদ ভাই কে অনেক অনেক ধন্যবাদ,,,,,, রানার এতো বড় দাইতো টা নেয়ার জন্য,,,,,আসুন আমরা সবাই অসহায় রানাদের পাসে দারাই,,,যার যতটুক সম্বব,,আর এক জনের কথা না বল্লেই নয়,,, জিনি,,অনেক পরিশ্রম,, দিয়ে রানা কে সবার সামনে তুলে দরেছেন,, আমাদের প্ররাণ প্রিয় বড় মনের মানুষ বড়,, ভাই,, তোব্বি ভাই,,, আমার,, সালাম,,, ভাই,, আপনাকে,,,, ",0,0,0,1,0,0,True,True,1.0,,,,Youtube,Personal,EMO-43-195e8135,"তৌহিদ ভাই কে অনেক অনেক ধন্যবাদ,, রানার এতো বড় দাইতো টা নেয়ার জন্য,,আসুন আমরা সবাই অসহায় রানাদের পাসে দারাই,,যার যতটুক সম্বব,,আর এক জনের কথা না বল্লেই নয়,, জিনি,,অনেক পরিশ্রম,, দিয়ে রানা কে সবার সামনে তুলে দরেছেন,, আমাদের প্ররাণ প্রিয় বড় মনের মানুষ বড়,, ভাই,, তোব্বি ভাই,, আমার,, সালাম,, ভাই,, আপনাকে,,"
EmoNoBa,Train,49,সে-ই খেলানাটা পাবে।’ ছোট মেয়েটা বলে উঠল ,0,0,0,1,0,0,True,True,0.0,,,,Facebook,Education,EMO-49-a10fc27b,সে-ই খেলানাটা পাবে। ছোট মেয়েটা বলে উঠল
EmoNoBa,Train,53,কফি শপে ঢুকলাম বিকেলের টিফিন করতে। দেখি একটাও টেবিল খালি নেই ,1,0,0,0,0,0,True,True,0.0,,,,Facebook,Education,EMO-53-7c3225ec,কফি শপে ঢুকলাম বিকেলের টিফিন করতে। দেখি একটাও টেবিল খালি নেই
EmoNoBa,Train,54,এখন পায়েল তুই খা ঘাষ ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Music,EMO-54-a809023d,এখন পায়েল তুই খা ঘাষ
EmoNoBa,Train,59,বালের চ্যানেল। বালের ভিডিও। ,0,0,0,0,1,0,True,True,0.0,,,,Youtube,Business,EMO-59-0691c4a4,বালের চ্যানেল। বালের ভিডিও।
EmoNoBa,Train,66,আরো সুন্দর গানচাই😘😙😗💑💟💔💅 ,0,0,0,1,0,0,True,True,1.0,,,,Youtube,Music,EMO-66-50807a97,আরো সুন্দর গানচাই
