source_dataset,source_split,source_row_id,included,exclusion_reason,harmonization_rule,original_labels,harmonized_labels,text_snippet
EmoNoBa,Train,5454,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,লকাল বাস ভালো এটা থেকে 
EmoNoBa,Train,22549,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,কত অভিজানই তো চলে কিন্তু ওয়াসার পানির অভিজান করে না কেন 
EmoNoBa,Train,7033,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,বিয়ের মহল ছেড়ে তিনি বিস্রাম নিতে চলে যান (৬ নং ছবি )বিয়ের ৫ দিন পর মারা যান এ
EmoNoBa,Train,21114,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=0 Sadness=1 Fear=0,anger=0 disgust=0 fear=0 joy=0 sadness=1 surprise=0,চাচাজি তো কেবল মাকে ধর্ষণ করেছেন 
EmoNoBa,Train,23683,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,সত্যিকার মানুষ তারাই ভাই 
EmoNoBa,Train,19667,True,,DIRECT+DISGUST-D,Love=1 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ভালবাসা আরো হাগার গুণ বেড়ে গেল 
EmoNoBa,Train,3182,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,ভাই নিজের সফটওয়্যার গুলোর প্রচার সহজে করে ফেলছেন ভালোই 
EmoNoBa,Train,6417,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,স্যার আমি আপনার এই নিয়ম এ স্কুল এ লিখেছিলাম কিন্তূ কেটে দিয়েছে। 
EmoNoBa,Train,19041,True,,DIRECT+DISGUST-D,Love=0 Joy=0 Surprise=0 Anger=1 Sadness=0 Fear=0,anger=1 disgust=0 fear=0 joy=0 sadness=0 surprise=0,খেলতে না পারলে এটাই বলে বাংলাদেশ 
EmoNoBa,Train,18001,True,,DIRECT+DISGUST-D,Love=0 Joy=1 Surprise=0 Anger=0 Sadness=0 Fear=0,anger=0 disgust=0 fear=0 joy=1 sadness=0 surprise=0,নিজ হাতে গড়া মোর কাঁচা ঘর 
